time (min),50nM MTM1,25nM MTM1,50nM MTM1 + 300nM Snx17,25nM MTM1 + 300nM Snx17
9.416667,0.279913,0.107884,0.590829,0.435391
9.5,0.296087,0.104494,0.603438,0.419724
9.583333,0.280453,0.103448,0.605743,0.418705
9.666667,0.284828,0.121017,0.601816,0.432965
9.75,0.285813,0.099079,0.6024,0.423642
9.833333,0.29139,0.116521,0.606257,0.441802
9.916667,0.290964,0.105888,0.606033,0.429067
10,0.29735,0.121534,0.613491,0.444033
10.08333,0.27772,0.124254,0.590828,0.438685
10.16667,0.26792,0.133937,0.596815,0.432899
10.25,0.279607,0.125547,0.594253,0.43823
10.33333,0.280679,0.145721,0.584538,0.455665
10.41667,0.276177,0.109878,0.570947,0.455398
10.5,0.305672,0.117749,0.589899,0.440531
10.58333,0.282098,0.143195,0.638806,0.460216
10.66667,0.281722,0.138874,0.635737,0.440809
10.75,0.275011,0.144918,0.635243,0.446275
10.83333,0.270988,0.145223,0.630819,0.463335
10.91667,0.27798,0.138522,0.615704,0.448251
11,0.272772,0.152551,0.629519,0.460528
11.08333,0.292942,0.135138,0.629308,0.450366
11.16667,0.282322,0.148288,0.636678,0.468275
11.25,0.30147,0.148587,0.63723,0.453612
11.33333,0.310039,0.13926,0.633121,0.467375
11.41667,0.291274,0.142944,0.629026,0.470727
11.5,0.284284,0.142673,0.632274,0.475697
11.58333,0.294702,0.134818,0.630673,0.457922
11.66667,0.29965,0.121793,0.634096,0.461118
11.75,0.289032,0.131111,0.624846,0.477767
11.83333,0.308796,0.132295,0.640791,0.460457
11.91667,0.293385,0.126438,0.642711,0.460701
12,0.307505,0.119247,0.650459,0.467749
12.08333,0.299724,0.150475,0.645825,0.472674
12.16667,0.310301,0.152561,0.645979,0.492629
12.25,0.287214,0.149815,0.642534,0.475381
12.33333,0.292169,0.126922,0.645576,0.491216
12.41667,0.318855,0.130157,0.641907,0.478191
12.5,0.303289,0.14749,0.651306,0.479321
12.58333,0.308468,0.119294,0.652338,0.499113
12.66667,0.300973,0.135477,0.642138,0.487265
12.75,0.284226,0.132715,0.6436,0.500384
12.83333,0.296546,0.157117,0.648657,0.488011
12.91667,0.297656,0.180855,0.64559,0.504729
13,0.296867,0.182382,0.647254,0.492404
13.08333,0.314428,0.174892,0.648645,0.49488
13.16667,0.298049,0.169906,0.649734,0.496201
